epoch,train_loss,val_auc
1,1.0494331121444702,0.7389589698041492
2,7.078763008117676,0.7638093073868474
3,2.3690073490142822,0.8634500032234474
4,0.8119189143180847,0.9085670755157494
5,0.4950331151485443,0.918825900423154
6,0.5782319903373718,0.9174800432709843
7,0.5787913799285889,0.9148036977010554
8,0.5172853469848633,0.916375317171539
9,0.47224748134613037,0.9267833213436935
10,0.4303978383541107,0.9407916970448801
11,0.41123560070991516,0.9413172357813835
12,0.40088799595832825,0.9460200312798656
13,0.3513014018535614,0.9420681722805745
14,0.3382890820503235,0.9434433877953894
15,0.3259877562522888,0.9614308028325594
16,0.2798274755477905,0.9621985383652554
17,0.2907215356826782,0.9648992703796113
18,0.2408418357372284,0.9650103993448126
19,0.22940818965435028,0.9657093610708434
20,0.22852669656276703,0.967814057047135
21,0.21873582899570465,0.9675853441552016
22,0.2252204418182373,0.9692468165040344
23,0.20806416869163513,0.9701527961840017
24,0.2257125824689865,0.9706536769984844
25,0.20761001110076904,0.9702472191937304
26,0.20774048566818237,0.9701176871502695
27,0.20909632742404938,0.9706201952790147
28,0.21350541710853577,0.9714703188318803
29,0.2022458165884018,0.9713529676002288
30,0.2057042270898819,0.9713021469946675
31,0.2113654762506485,0.9705305890574505
32,0.2027183622121811,0.9696346338815475
33,0.19985003769397736,0.9702620263573469
34,0.206802099943161,0.9700025418679804
35,0.20685511827468872,0.9713586391549887
36,0.19396288692951202,0.9719369639948326
37,0.19346077740192413,0.9713037618985255
38,0.20126478374004364,0.9709700538837106
39,0.20633411407470703,0.9705906461064036
40,0.19150152802467346,0.9709949010643967
41,0.19616998732089996,0.9718279013619453
42,0.1925833523273468,0.9722908001341031
43,0.18474195897579193,0.9729443382291374
44,0.18614648282527924,0.9725594372966325
45,0.18810710310935974,0.9724741747165693
46,0.1921805590391159,0.9725567783675135
47,0.188608318567276,0.9728215977794237
48,0.18671850860118866,0.9735358180975272
49,0.18341779708862305,0.9731514166837948
50,0.18211832642555237,0.9729654917632472
51,0.1818227469921112,0.9729865878992372
52,0.1784864366054535,0.974596190963346
53,0.18103069067001343,0.9753340624094226
54,0.18070901930332184,0.9741468676221794
55,0.1858261525630951,0.9736537029765633
56,0.18198299407958984,0.9737344667850716
57,0.18125160038471222,0.9748752668271826
58,0.18383818864822388,0.974177414281035
59,0.17975760996341705,0.9735120583785171
60,0.18480439484119415,0.9736256632193738
61,0.18791794776916504,0.9754218722249658
62,0.17973344027996063,0.9766403055511034
63,0.1736106127500534,0.9755515330263709
64,0.1853083074092865,0.9757719309474309
65,0.1746688336133957,0.9760434318107496
66,0.178135946393013,0.9761305776696636
67,0.17574292421340942,0.9750519072140218
68,0.1812225729227066,0.9743905877954987
69,0.17989753186702728,0.9742751524200092
70,0.1770237386226654,0.9762194516773746
71,0.18853184580802917,0.9750538168649818
72,0.18009112775325775,0.9734320919384839
